Country,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count
United States,212,211,101,0.359430605,0.4764150943,73.47169811,1153
TÃ¼rkiye,36,36,31,0.8157894737,0.8611111111,23.08333333,232
Netherlands,34,35,110,0.802919708,3.235294118,538.3529412,2008
Canada,15,15,17,0.4473684211,1.133333333,189.8,150
United Kingdom,9,9,6,0.6666666667,0.6666666667,30.55555556,41
Germany,6,6,5,0.5555555556,0.8333333333,113.5,38
Russia,6,6,1,0.1666666667,0.1666666667,10.5,20
Saudi Arabia,5,5,0,0,0,0,15
Finland,4,4,0,0,0,0,13
France,4,4,1,0.25,0.25,3.75,28
India,3,3,3,0.75,1,33,17
Austria,2,2,0,0,0,0,7
China,2,2,0,0,0,0,6
Costa Rica,2,2,4,0.6666666667,2,65,21
Ireland,2,2,1,0.5,0.5,31,10
Nepal,2,2,0,0,0,0,8
Philippines,2,2,2,1,1,67.5,11
Vietnam,2,2,1,0.1111111111,0.5,34,29
Australia,1,1,0,0,0,0,3
Belgium,1,1,1,1,1,82,12
Bosnia & Herzegovina,1,1,0,0,0,0,3
Brazil,1,1,1,1,1,18,5
Indonesia,1,1,1,1,1,2,5
Italy,1,1,1,0.5,1,277,9
Mexico,1,1,1,0.2,1,185,17
Nigeria,1,1,1,1,1,17,5
Seychelles,1,1,0,0,0,0,3
Singapore,1,1,1,1,1,173,8
South Korea,1,1,0,0,0,0,3
Spain,1,1,1,1,1,11,7
United Arab Emirates,1,1,0,0,0,0,3
Venezuela,1,1,1,1,1,74,5