,First user primary channel group,,,
,Direct,Organic Search,Organic Social,Referral
SUM of avg eng time mm:ss,:01:24 ,:02:17 ,:02:20 ,:19:28 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Country,SUM of Users,,,
Vietnam,2,,,
Venezuela,1,,,
United States,212,,,
United Kingdom,9,,,
United Arab Emirates,1,,,
TÃ¼rkiye,36,,,
Spain,1,,,
South Korea,1,,,
Singapore,1,,,
Seychelles,1,,,
Saudi Arabia,5,,,
Russia,6,,,
Philippines,2,,,
Nigeria,1,,,
Netherlands,34,,,
Nepal,2,,,
Mexico,1,,,
Italy,1,,,
Ireland,2,,,
Indonesia,1,,,
India,3,,,
Germany,6,,,
France,4,,,
Finland,4,,,
Costa Rica,2,,,
China,2,,,
Canada,15,,,
Brazil,1,,,
Bosnia & Herzegovina,1,,,
Belgium,1,,,
Austria,2,,,
Australia,1,,,
Grand Total,362,,,